Project_name,Tool_name,CWE_ID,Number_of_Findings,Is_In_CWE_Top_25?
btop,flawfinder,CWE-119,67,YES
btop,flawfinder,CWE-120,90,NO
btop,flawfinder,CWE-126,8,NO
btop,flawfinder,CWE-134,17,NO
btop,flawfinder,CWE-190,3,YES
btop,flawfinder,CWE-20,20,YES
btop,flawfinder,CWE-362,43,YES
btop,flawfinder,CWE-367,12,NO
btop,flawfinder,CWE-78,5,YES
btop,flawfinder,CWE-807,13,NO
ggml,flawfinder,CWE-119,147,YES
ggml,flawfinder,CWE-120,773,NO
ggml,flawfinder,CWE-126,14,NO
ggml,flawfinder,CWE-134,11,NO
ggml,flawfinder,CWE-190,40,YES
ggml,flawfinder,CWE-20,232,YES
ggml,flawfinder,CWE-327,2,NO
ggml,flawfinder,CWE-362,58,YES
ggml,flawfinder,CWE-367,40,NO
ggml,flawfinder,CWE-78,3,YES
ggml,flawfinder,CWE-807,43,NO
winget-cli,flawfinder,CWE-119,31,YES
winget-cli,flawfinder,CWE-120,44,NO
winget-cli,flawfinder,CWE-126,17,NO
winget-cli,flawfinder,CWE-134,1,NO
winget-cli,flawfinder,CWE-20,8,YES
winget-cli,flawfinder,CWE-250,1,NO
winget-cli,flawfinder,CWE-327,1,NO
winget-cli,flawfinder,CWE-362,41,YES
winget-cli,flawfinder,CWE-367,31,NO
winget-cli,flawfinder,CWE-78,3,YES
winget-cli,flawfinder,CWE-807,1,NO
winget-cli,flawfinder,CWE-829,1,NO
